player_id,player_name,season,type,age,team,pos,G,MP,MPG,TS_pct,Usg,FGA3r,FTAr,AST_pct,TOV_pct,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,pace_impact,raptor_off,raptor_def,raptor_tot,war_total
youngth01,Thaddeus Young,2020,RS,31,CHI,PF,64,1591,24.9,52.1,19.7,36.9,12,11.3,13.9,6.2,16.1,10.9,2.8,1.4,0.7,-2.9,0.8,-2.1,0.53
markkla01,Lauri Markkanen,2020,RS,22,CHI,PF,50,1492,29.8,56,21.1,53.6,25.9,7.6,11,4.2,19.7,11.6,1.4,1.5,0.6,-1,-2.1,-3.1,-0.28
dunnkr01,Kris Dunn,2020,RS,25,CHI,PG,51,1269,24.9,51,14.6,32.7,15.8,19.4,15.7,1.9,14.9,8.1,3.8,1.3,0.1,-1.7,4.1,2.5,3.38
cartewe01,Wendell Carter Jr.,2020,RS,20,CHI,C,43,1256,29.2,59,16.4,8.5,44.3,6,14.9,11.6,24.6,17.8,1.3,2.7,-0.1,-2.8,0.1,-2.7,0.06
arcidry01,Ryan Arcidiacono,2020,RS,25,CHI,PG,58,930,16,55.1,12.5,62.7,17.3,14.3,13.5,2.3,11.2,6.5,1.4,0.3,0.1,-0.9,2,1.1,1.82
gaffoda01,Daniel Gafford,2020,RS,21,CHI,C,43,609,14.2,68.6,13.3,0,44.8,5.2,15.3,9,10.3,9.6,1,8.7,-0.1,-2.6,0.9,-1.7,0.33
kornelu01,Luke Kornet,2020,RS,24,CHI,C,36,559,15.5,53.9,16.3,57.8,15,8.5,6.6,4.1,12.9,8.3,0.9,4.4,-0.4,-3,-2.8,-5.8,-0.85
hutchch01,Chandler Hutchison,2020,RS,23,CHI,SF,28,527,18.8,52.1,19.1,21.7,44.6,7.4,11.4,3.6,19.8,11.3,2.5,1.3,0.8,-3.2,0.5,-2.7,0.01
valende01,Denzel Valentine,2020,RS,26,CHI,SF,36,488,13.6,51.1,23.3,57.8,3.4,14.2,9.8,1.9,15.5,8.4,2.6,1.2,0.3,-0.1,1.7,1.7,1.1
harrish01,Shaquille Harrison,2020,RS,26,CHI,SF,43,484,11.3,55.9,18.1,25.5,30.3,15.3,9.2,4.8,15.3,9.8,3.4,3.7,-0.1,1.4,4.2,5.6,2.06
feliccr01,Cristiano Felicio,2020,RS,27,CHI,PF,22,386,17.5,67.1,9.1,3.7,42.6,5.7,21.9,15,14.1,14.6,1.2,0.5,-0.8,-1,-5.5,-6.5,-0.74
porteot01,Otto Porter Jr.,2020,RS,26,CHI,SF,14,331,23.6,55,21,44.3,19.3,11.9,6.8,4.1,12.3,8,2.2,1.7,0.5,1.8,0.4,2.1,0.83
mokokad01,Adam Mokoka,2020,RS,21,CHI,SG,11,112,10.2,53.8,12.1,53.6,14.3,5,6.3,6.6,3.1,4.9,1.7,0,0,2.2,0,2.2,0.28
strusma01,Max Strus,2020,RS,23,CHI,SG,2,6,3,72.7,24.4,33.3,33.3,0,0,17.5,0,9.2,0,0,2.3,18.8,10.6,29.4,0.1
sextoco01,Collin Sexton,2020,RS,21,CLE,SG,65,2143,33,56,27.2,23.5,24.6,15.1,11.6,3.1,7.5,5.3,1.5,0.3,0.2,1.3,-4.6,-3.3,-0.61
osmande01,Cedi Osman,2020,RS,24,CLE,SF,65,1910,29.4,55.2,16.6,52.7,15.4,11.6,12.3,2.2,11.3,6.7,1.4,0.7,0,-0.8,-0.8,-1.6,1.13
garlada01,Darius Garland,2020,RS,20,CLE,PG,59,1824,30.9,49.8,20.7,42.3,10.3,18.5,17.1,1.6,5.2,3.4,1.1,0.2,-0.3,-2.6,-3.9,-6.5,-3.52
loveke01,Kevin Love,2020,RS,31,CLE,PF,56,1780,31.8,59.9,23.1,53.6,30.1,15.4,14.5,3.3,31.1,17.1,0.9,0.9,1.2,1.5,-1.5,0,2.48
thomptr01,Tristan Thompson,2020,RS,28,CLE,C,57,1721,30.2,54,18.3,4.1,28.6,10.5,14,14.5,22.9,18.6,0.9,2.5,-1.4,-2.3,1,-1.3,1.25
nancela02,Larry Nance Jr.,2020,RS,27,CLE,C,56,1472,26.3,60.8,15.2,36.9,17.2,12.3,11.5,7.9,23.1,15.4,1.9,1.3,-0.8,0.1,1.1,1.2,2.92
porteke02,Kevin Porter Jr.,2020,RS,19,CLE,SF,50,1162,23.2,53.5,20.5,37.5,24,13.9,16.7,2.1,13.5,7.7,1.9,1,0.3,-2.4,-1.5,-4,-0.73
dellama01,Matthew Dellavedova,2020,RS,29,CLE,PG,57,821,14.4,46.3,13,52,21.1,29,23.6,2.4,7.8,5.1,1.2,0.2,0,-1.7,2.6,0.8,1.5
clarkjo01,Jordan Clarkson,2020,RS,27,CLE,SG,29,666,23,58.1,25.9,48.8,26.4,17,9.7,3.5,8.1,5.8,1.2,1,-0.6,3.3,-2.2,1.2,1.33
mckinal01,Alfonzo McKinnie,2020,RS,27,CLE,SF,40,593,14.8,49.3,15.2,38,18.1,3.3,12.3,6.9,14.4,10.6,1.9,1.2,-0.2,-3.3,-2.1,-5.4,-0.79
hensojo01,John Henson,2020,RS,29,CLE,PF,29,412,14.2,53.9,16.1,25.8,27.5,15.2,13.5,8.5,22.3,15.4,1.9,6.7,0.4,-1.1,5,3.9,1.41
